person_id,last_name,first_name,position,height_inches,weight_lbs,min,pts,fg_pct,reb,ast,blk,stl
203096,Sullinger,Jared,Forward,81,260,27.0,13.3,0.439,7.6,2.3,0.7,0.8
203106,Taylor,Jeff,Forward,79,225,14.8,4.4,0.395,1.8,0.8,0.0,0.4
201952,Teague,Jeff,Guard,74,181,30.5,15.9,0.46,2.5,7.0,0.4,1.7
203141,Teletovic,Mirza,Forward,81,242,22.3,8.5,0.382,4.9,1.2,0.4,0.4
202066,Temple,Garrett,Guard,78,195,14.1,3.9,0.4,1.7,1.1,0.2,0.8
1891,Terry,Jason,Guard,74,185,21.3,7.0,0.422,1.6,1.9,0.2,0.9
202738,Thomas,Isaiah,Guard,69,185,25.8,16.4,0.421,2.3,4.2,0.1,0.9
202498,Thomas,Lance,Forward,80,225,24.0,7.1,0.412,3.1,1.1,0.1,0.6
203138,Thompson,Hollis,Guard,80,206,25.0,8.8,0.413,2.8,1.2,0.4,0.8
201574,Thompson,Jason,Forward,83,250,24.6,6.1,0.47,6.5,1.0,0.7,0.4
202691,Thompson,Klay,Guard,79,215,31.9,21.7,0.463,3.2,2.9,0.8,1.1
202684,Thompson,Tristan,Center,81,238,26.8,8.5,0.547,8.0,0.5,0.7,0.4
201977,Thornton,Marcus,Guard,76,205,15.0,7.9,0.406,1.8,0.8,0.1,0.6
201229,Tolliver,Anthony,Forward,80,240,18.9,6.3,0.41,3.1,0.8,0.2,0.3
200782,Tucker,PJ,Forward,78,224,30.6,9.1,0.438,6.4,1.6,0.3,1.4
2045,Turkoglu,Hedo,Forward,82,220,11.4,3.7,0.441,1.6,0.6,0.1,0.3
202323,Turner,Evan,Guard,79,220,27.6,9.5,0.429,5.1,5.5,0.2,1.0
2757,Udrih,Beno,Guard,75,205,18.9,7.7,0.487,1.8,2.8,0.1,0.6
202685,Valanciunas,Jonas,Center,84,255,26.2,12.0,0.572,8.7,0.5,1.2,0.4
2760,Varejao,Anderson,Center,83,267,24.4,9.8,0.555,6.5,1.3,0.6,0.7
202349,Vasquez,Greivis,Guard,78,200,24.3,9.5,0.408,2.6,3.7,0.1,0.6
101111,Villanueva,Charlie,Forward,83,232,10.6,6.3,0.414,2.3,0.3,0.3,0.2
203943,Vonleh,Noah,Forward,82,240,10.3,3.3,0.395,3.4,0.2,0.4,0.2
202696,Vucevic,Nikola,Center,84,260,34.2,19.3,0.523,10.9,2.0,0.7,0.7
2548,Wade,Dwyane,Guard,76,220,31.8,21.5,0.47,3.5,4.8,0.3,1.2
203079,Waiters,Dion,Guard,76,225,27.6,11.8,0.396,2.4,2.0,0.3,1.1
201611,Walker,Henry,Forward,78,235,26.1,7.3,0.345,3.4,1.2,0.4,1.0
202689,Walker,Kemba,Guard,73,184,34.2,17.3,0.385,3.5,5.1,0.5,1.4
202322,Wall,John,Guard,76,195,35.9,17.6,0.445,4.6,10.0,0.6,1.7
203933,Warren,TJ,Forward,80,215,15.4,6.1,0.528,2.1,0.6,0.2,0.5
201228,Watson,CJ,Guard,74,175,24.9,10.0,0.434,2.9,3.6,0.2,1.0
